country,confirmed,new_cases,deaths,recovered,active,critical,new_deaths,total_tests,population
Eswatini,5847,0,116,5491,240,19,0,45870,1163939
French Polynesia,5797,0,20,3623,2154,17,0,26355,281421
Djibouti,5530,0,61,5398,71,0,0,83738,992489
Trinidad and Tobago,5503,0,105,4018,1380,14,0,32182,1400926
Malta,5498,125,51,3567,1880,6,1,317904,441916
Nicaragua,5434,0,155,4225,1054,0,0,0,6649270
Syria,5359,0,267,1722,3370,0,0,0,17631629
Hong Kong,5296,6,105,5047,144,12,0,3611375,7516153
Congo,5253,0,92,3887,1274,0,0,0,5559910
Suriname,5166,0,109,5016,41,7,0,18094,588287
Réunion,5149,0,20,4630,499,10,0,35419,897329
Equatorial Guinea,5079,0,83,4962,34,1,0,64910,1417002
Rwanda,5060,0,34,4806,220,0,0,545920,13051058
CAR,4862,0,62,1924,2876,2,0,32711,4855898
Latvia,4678,211,56,1357,3265,10,2,423995,1879466
Iceland,4448,54,11,3395,1042,4,0,339123,341943
Estonia,4411,60,73,3457,881,3,0,252319,1326819
Aruba,4410,0,36,4186,188,4,0,37909,106910
Mayotte,4276,0,44,2964,1268,3,0,13000,274843
Andorra,4038,0,69,2729,1240,22,0,137457,77304
Guyana,3994,0,117,2970,907,13,0,18143,787754
Somalia,3897,0,102,3166,629,0,0,0,16029088
Thailand,3736,5,59,3530,147,1,0,977854,69855593
Gambia,3659,0,119,2660,880,0,0,18657,2437465
Mali,3472,0,132,2636,704,0,0,70223,20429315
Cyprus,3444,0,25,1882,1537,9,0,458164,1210133
Belize,3106,56,48,1921,1137,1,2,21150,399872
South Sudan,2883,5,56,1290,1537,0,0,12044,11234890
Uruguay,2807,0,53,2301,453,9,0,299200,3477548
Benin,2557,0,41,2330,186,0,0,238105,12220748
Burkina Faso,2444,0,65,1997,382,0,0,0,21079031
Guinea-Bissau,2403,0,41,1818,544,5,0,0,1982344
Sierra Leone,2345,0,74,1784,487,0,0,0,8027249
Martinique,2257,0,24,98,2135,19,0,42504,375172
Togo,2187,0,52,1591,544,0,0,112825,8338575
Yemen,2060,0,599,1360,101,0,0,0,30029013
Lesotho,1940,0,43,970,927,0,0,22264,2147603
New Zealand,1935,1,25,1840,70,0,0,1067143,5002100
Chad,1434,0,96,1254,84,0,0,0,16570114
Liberia,1393,0,82,1278,33,2,0,30332,5094346
Niger,1215,0,69,1128,18,9,0,35103,24471722
Vietnam,1168,8,35,1057,76,0,0,1246480,97614318
Sao Tome and Principe,940,0,15,900,25,0,0,6022,220423
Curaçao,837,0,1,555,281,5,0,11500,164306
San Marino,819,0,42,716,61,3,0,9184,33954
Channel Islands,795,0,48,671,76,2,0,141888,174367
Sint Maarten,780,0,22,705,53,6,0,5961,43029
Diamond Princess,712,0,13,659,40,4,0,0,0
Turks and Caicos,701,0,6,689,6,1,0,4194,38881
Gibraltar,667,7,0,516,151,20,0,62026,33688
Papua New Guinea,583,0,7,545,31,0,0,27003,8999647
Burundi,557,2,1,511,45,0,0,49642,11998988
Taiwan,550,0,7,497,46,0,0,100306,23830475
Saint Martin,538,0,8,422,108,12,0,6072,38871
